Sku,,Description,Image,Category,Brand,Price,Stock
K1PB10,Dorman Smith MCB SP Type B 10A 10KA K1PB10,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 10A B type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://www.tradesparky.com/media/shared/productimages/dorman-smith-switchgear-limited/2cad5ab2-4842-411c-b417-3eae30d8cda5.png?p=260,MCBs,Dorman Smith,4.96,123
K1PB16,Dorman Smith MCB K Series Type B Single Pole 16A 10Ka K1PB16,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 16A B type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105870?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105871?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105872?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PB20,Dorman Smith MCB K Series Type B Single Pole 20A 10Ka K1PB20,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 20A B type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105875|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105876?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105877?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PB25,Dorman Smith K Series 10kA 1-pole 25A B type MCB K1PB25,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg|https://storage.electrika.com/manu/man-0160/picsprod/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,13.65,123
K1PB32,Dorman Smith MCB K Series Type B Single Pole 32A 10Ka K1PB32,"Miniature Circuit breakers are designed to be used with the Loadlimiter 63 SP&N and TP&N distribution board systems.

· 1-pole MCB
· 10kA MCB 1-pole 32A B type
· 10kA rated to EN 60898
· 15kA rated to EN 60947
· Contact position indicator
· Maximum cable termination of 35mm²",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105878|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105879?w=515&h=515|https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/105880?w=515&h=515,MCBs,Dorman Smith,4.96,123
K1PB40,Dorman Smith MCB K Series Type B SP 40A 10Ka K1PB40,"Dorman Loadlimiter 63 Miniature Circuit Breaker suitable for TP and N distribution boards. It exceeds the requirements of EN 60898 standards, the maximum cable termination of 35mm² and 81mm high current MCB width.

· Contact position indicator
· Maximum cable termination of 35mm²
· 10kA rated to the requirements of EN 60898
· 15kA rated to the requirements of EN 60947",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/147605,MCBs,Dorman Smith,7.20,123
K1PB50,Dorman Smith MCB K Series Type B SP 50A 10Ka K1PB50,"Dorman Smith Switchgear K1PB50 Loadlimiter 63 MCB K Series Type B SP 50A 10kA

· Product: Circuit Breaker
· Type: MCB
· Pole Configuration: SP
· Trip Type: Type B
· Short Circuit Rating: 10 kA
· Cable Capacity: 35 mm2
· Height: 88 mm
· Width: 17.5 mm
· Depth: 69.5 mm
· Current Rating: 50 A",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/195900,MCBs,Dorman Smith,9.01,123
K1PB63,Dorman Smith MCB K Series Type B SP 63A 10Ka K1PB63,"Dorman Loadlimiter 63 Miniature Circuit Breaker suitable for TP and N distribution boards. It exceeds the requirements of EN 60898 standards, the maximum cable termination of 35mm² and 81mm high current MCB width.

· Contact position indicator
· Maximum cable termination of 35mm²
· 10kA rated to the requirements of EN 60898
· 15kA rated to the requirements of EN 60947",https://asset.eezybridge.com/thumb/9288b423-ae4e-41a5-aa43-6b84017a6060/147606,MCBs,Dorman Smith,9.01,123
K1PC01,Dorman Smith K Series 10kA 1-pole 1A C type MCB K1PC01,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://storage.electrika.com/manu/man-0160/picsprod/1pole_1_8xdg9k.jpg|https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,18.01,123
K1PC02,Dorman Smith K Series 10kA 1-pole 2A C type MCB K1PC02,"Exceeds the requirements of EN 60898
10kA rated to the requirements of EN 60898
15kA rated to the requirements of EN 60947
Contact position indicator
Maximum cable termination: 35mm²
Width: 17.5mm",https://storage.electrika.com/manu/man-0160/picsprodmedium/1pole_1_8xdg9k.jpg|https://storage.electrika.com/manu/man-0160/picsprodmedium/dbxinterior_1_hqu5kd.jpg,MCBs,Dorman Smith,17.18,123
