SKU,Title,Description,Price,Category,Stock,Brand
RADT225P,Europa 22mm LED With Lamp Test Facility (IP65) RADT225P,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",5.5545,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RADT221P,Europa 22mm LED With Lamp Test Facility (IP65) RADT221P,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",5.5545,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD226P,Europa 22mm LED Pilot Lamps (IP65) RAD226P,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD225P,Europa 22mm LED Pilot Lamps (IP65) RAD225P,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD225F,Europa 22mm LED Pilot Lamps (IP65) RAD225F,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD225B,Europa 22mm LED Pilot Lamps (IP65) RAD225B,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD224F,Europa 22mm LED Pilot Lamps (IP65) RAD224F,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD223P,Europa 22mm LED Pilot Lamps (IP65) RAD223P,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
RAD221P,Europa 22mm LED Pilot Lamps (IP65) RAD221P,"IP65, Multi segment , Long life: 30,000 hours , Low temperature, 24V & 110V AC/DC , 230V AC , Complete with locking nut, Current rating 20mA",2.806,"Push Buttons, Key Switches & Pilot Lights",100,Europa Components
PIR6W-1P-230VAC,Europa Interfacing Relay PIR6W-1P-230VAC,"LED indicator, Relay eject mechanism, 6mm wide din rail mounting",18.4704,Relays,100,Europa Components
